1;2794,9;40543,7;0,0003;64,83;112,46;49,48
2;7652,0;40543,6;0,0020;65,24;94,65;-137,74
3;13019,6;40544,1;0,0020;65,09;71,54;-133,32
4;17807,3;40544,1;0,0009;65,39;52,29;-117,89
5;22604,9;40544,0;0,0006;65,40;32,41;-167,18
6;28714,0;40544,2;0,0008;64,81;4,00;119,55
7;33236,8;40543,9;0,0017;65,10;-12,86;-133,56
8;38145,8;40544,1;0,0021;65,11;-33,35;-114,34
9;801,5;40544,2;0,0020;63,64;-119,68;-156,44
10;5394,4;40544,5;0,0018;64,35;-137,50;7,41
11;10368,5;40544,6;0,0006;64,62;-157,89;-131,41
12;15891,7;40544,1;0,0010;64,39;179,25;-74,70
13;20425,1;40544,3;0,0004;64,34;159,63;66,50
14;26005,5;40544,1;0,0007;64,10;136,36;-129,91
15;31030,1;40544,1;0,0008;64,32;116,00;-102,64
16;36175,5;40544,2;0,0009;64,76;94,47;-151,21
17;39967,3;40544,0;0,0012;65,18;-160,76;-158,25
18;4043,5;40544,0;0,0011;65,46;-9,82;-40,85
19;9081,6;40544,1;0,0013;64,43;-29,90;176,50
20;14369,6;40544,0;0,0008;65,75;-50,94;-36,58
21;19014,8;40543,4;0,0008;65,39;-72,61;-168,70
22;24722,0;40544,0;0,0010;64,46;-95,34;-85,86
23;28911,4;40543,4;0,0002;65,58;-113,24;143,10
24;34752,4;40544,0;0,0009;64,52;-139,34;-127,72
